"PROJETO_AMOSTRAGEM";"PROJETO_PUBLICACAO";"CENTRO_CUSTO";"CLASSE";"NUM_CAMPO";"NUM_LAB";"DATA_VISITA";"ABERTURA";"LEITURA";"JOB";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CA_PCT";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"FE_PCT";"LA_PPM";"MG_PCT";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"PB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"TI_PCT";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"OBSERVACAO";"LONGITUDE";"LATITUDE";"PROJETO";"OS";"ACAO";"AREA";"LAT";"LONG";"PRECISAO";"CENTRO_CUS";"DTVISITA";"DESCAMOSTR";"MATCOLETAD";"ROCHMATRIZ";"INTEMROCHA";"ALTERROCHA";"TIPMINERAL";"GRAUARREDO";"VOLUME_L";"P_BATEIA_G";"GRANULMAX";"GRANULMIN";"COMPOS_PCT";"CORSED_SOL";"EH_MILIVOL";"PH";"METALPESAD";"OBS_CAMPO";"FONTEAMOST";"DESCROCHA";"IDADEROCH1";"IDADEROCH2";"PLUVIOSIDA";"VEGETACAO";"TOPOGRAFIA";"SITUACAO";"IGNEAROCHA";"ESTRUTURAL";"FORMADEPOS";"MODO_DEPOS";"LARG_RIO_M";"PROF_RIO_M";"VELOC_CORR";"NIVEL_DAGU";"AREADRENAG";"TURBIDEZ";"POSICAO";"COR_AGUA";"HORIZ_SOLO";"TIPO_SOLO";"AMBBIOTICO";"GEOMETRY";"F_PPM";"U_PPM"
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-VR-L-032";"DBX587";"30864";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"< 10";"70";"ND";"ND";"< 0,05";"ND";"50";"150";"70";"15";"ND";"0,03";"2000";"ND";"< 10";"70";"< 10";"ND";"30";"ND";"ND";"1";"500";"ND";"10";"ND";"100";NA;"-51,260322666";"-3,810131029";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,810131";"-51,260323";"5";"1511270";"1984-07-01";"Simples";"Solo";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Nao Especificado";NA;"c(-51,260322666, -3,810131029)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-VR-L-033";"DBX588";"30864";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"< 10";"150";"ND";"ND";"0,15";"ND";"50";"200";"70";"15";"ND";"0,15";"1500";"ND";"< 10";"200";"ND";"ND";"30";"ND";"ND";"0,7";"500";"ND";"30";"ND";"100";NA;"-51,259422839";"-3,812845338";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,812845";"-51,259423";"5";"1511270";"1984-07-01";"Simples";"Solo";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Nao Especificado";NA;"c(-51,259422839, -3,812845338)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-VR-L-034";"DBX589";"30864";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"< 10";"100";"ND";"ND";"0,2";"ND";"30";"150";"100";"15";"ND";"0,1";"2000";"ND";"< 10";"150";"< 10";"ND";"30";"ND";"ND";"> 1";"500";"ND";"50";"ND";"100";NA;"-51,258523008";"-3,815559646";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,81556";"-51,258523";"5";"1511270";"1984-07-01";"Simples";"Solo";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Nao Especificado";NA;"c(-51,258523008, -3,815559646)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-VR-L-035";"DBX590";"30864";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"< 10";"200";"ND";"ND";"0,2";"ND";"70";"200";"100";"10";"ND";"7,0000000000000007E-2";"5000";"ND";"< 10";"150";"< 10";"ND";"20";"ND";"ND";"> 1";"200";"ND";"20";"ND";"100";NA;"-51,258523819";"-3,818273682";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,818274";"-51,258524";"5";"1511270";"1984-07-01";"Simples";"Solo";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Nao Especificado";NA;"c(-51,258523819, -3,818273682)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-VR-L-036";"DBX591";"30864";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"< 10";"20";"< 1";"ND";"0,05";"ND";"15";"200";"70";"15";"ND";"0,05";"500";"ND";"< 10";"150";"< 10";"ND";"30";"10";"ND";"1";"300";"ND";"10";"ND";"70";NA;"-51,257623711";"-3,820083311";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,820083";"-51,257624";"5";"1511270";"1984-07-01";"Simples";"Solo";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Nao Especificado";NA;"c(-51,257623711, -3,820083311)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-VR-L-037";"DBX592";"30864";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"< 10";"150";"< 1";"ND";"0,7";"ND";"30";"100";"100";"10";"20";"7,0000000000000007E-2";"1500";"ND";"< 10";"150";"< 10";"ND";"30";"ND";"ND";"1";"500";"ND";"50";"ND";"70";NA;"-51,256723598";"-3,821892939";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,821893";"-51,256724";"5";"1511270";"1984-07-01";"Simples";"Solo";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Nao Especificado";NA;"c(-51,256723598, -3,821892939)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-VR-L-038";"DBX593";"30864";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"< 10";"100";"ND";"ND";"0,5";"ND";"50";"200";"100";"15";"< 20";"0,15";"2000";"ND";"< 10";"200";"< 10";"ND";"30";"ND";"ND";"0,7";"300";"ND";"30";"ND";"50";NA;"-51,255823214";"-3,822797888";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,822798";"-51,255823";"5";"1511270";"1984-07-01";"Simples";"Solo";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Nao Especificado";NA;"c(-51,255823214, -3,822797888)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-VR-L-039";"DBX594";"30864";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"ND";"30";"< 1";"ND";"0,5";"ND";"50";"200";"150";"15";"ND";"0,3";"1500";"ND";"< 10";"150";"ND";"ND";"20";"ND";"ND";"0,3";"100";"ND";"10";"ND";"20";NA;"-51,256724406";"-3,824606976";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,824607";"-51,256724";"5";"1511270";"1984-07-01";"Simples";"Solo";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Nao Especificado";NA;"c(-51,256724406, -3,824606976)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-VR-L-040";"DBX595";"30864";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"< 10";"150";"< 1";"ND";"0,5";"ND";"50";"200";"100";"10";"< 20";"0,15";"1000";"ND";"< 10";"150";"10";"ND";"30";"ND";"ND";"0,5";"200";"ND";"30";"ND";"70";NA;"-51,257625601";"-3,826416062";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,826416";"-51,257626";"5";"1511270";"1984-07-01";"Simples";"Solo";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Nao Especificado";NA;"c(-51,257625601, -3,826416062)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-VR-L-041";"DBX596";"30864";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"< 10";"150";"ND";"ND";"0,5";"ND";"50";"150";"70";"7";"< 20";"0,2";"1000";"ND";"< 10";"100";"< 10";"ND";"20";"ND";"ND";"1";"150";"ND";"30";"ND";"100";NA;"-51,257626141";"-3,828225419";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,828225";"-51,257626";"5";"1511270";"1984-07-01";"Simples";"Solo";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Nao Especificado";NA;"c(-51,257626141, -3,828225419)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-VR-L-042";"DBX597";"30864";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"< 10";"100";"< 1";"ND";"0,05";"ND";"7";"30";"20";"3";"ND";"0,05";"300";"ND";"10";"20";"10";"ND";"10";"ND";"ND";"0,5";"100";"ND";"< 10";"ND";"150";NA;"-51,257626682";"-3,830034776";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,830035";"-51,257627";"5";"1511270";"1984-07-01";"Simples";"Solo";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Nao Especificado";NA;"c(-51,257626682, -3,830034776)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-VR-L-043";"DBX598";"30864";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"10";"50";"< 1";"ND";"< 0,05";"ND";"< 5";"20";"5";"1,5";"ND";"0,02";"150";"ND";"10";"10";"< 10";"ND";"5";"ND";"ND";"0,7";"70";"ND";"10";"ND";"200";NA;"-51,258527614";"-3,830939182";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,830939";"-51,258528";"5";"1511270";"1984-07-01";"Simples";"Solo";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Nao Especificado";NA;"c(-51,258527614, -3,830939182)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-VR-L-045";"DBX599";"30864";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"10";"300";"ND";"ND";"0,05";"ND";"ND";"< 10";"< 5";"1";"< 20";"0,03";"100";"ND";"< 10";"< 5";"20";"ND";"< 5";"ND";"ND";"0,2";"30";"ND";"10";"ND";"700";NA;"-51,260329757";"-3,83365267";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,833653";"-51,26033";"5";"1511270";"1984-07-01";"Simples";"Solo";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Nao Especificado";NA;"c(-51,260329757, -3,83365267)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-VR-L-046";"DBX600";"30864";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"10";"300";"< 1";"ND";"0,05";"ND";"< 5";"< 10";"< 5";"1,5";"< 20";"0,05";"200";"ND";"< 10";"< 5";"50";"ND";"< 5";"ND";"ND";"0,15";"30";"ND";"< 10";"ND";"300";NA;"-51,258528701";"-3,834557896";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,834558";"-51,258529";"5";"1511270";"1984-07-01";"Simples";"Solo";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Nao Especificado";NA;"c(-51,258528701, -3,834557896)";NA;NA
"Grande Carajás - Folha Altamira";"Grande Carajás - Folha Altamira";"1511270";"Solo";"1511-VR-L-047";"DBX601";"30864";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"10";"2000";"< 1";"ND";"7,0000000000000007E-2";"ND";"20";"10";"10";"2";"20";"0,03";"1000";"ND";"10";"10";"100";"ND";"< 5";"ND";"< 100";"0,2";"50";"ND";"10";"ND";"500";NA;"-51,259429912";"-3,836366979";"Grande Carajás - Folha Altamira";"5360";"Programa Levantamentos Geológicos Básicos do Brasil";"Altamira";"-3,836367";"-51,25943";"5";"1511270";"1984-07-01";"Simples";"Solo";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"Solo Residual";NA;NA;NA;"Periodo Seco";"Floresta Fechada";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"B";"Nao Especificado";NA;"c(-51,259429912, -3,836366979)";NA;NA
