"ID";"N_LAB";"AREA";"LONG";"LAT";"NUM_CAMPO";"PROJETO";"CLASSE";"Lab";"BASE";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"LA_PPM";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"PB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"F_PPM";"U_PPM";"CA_PCT";"FE_PCT";"MG_PCT";"TI_PCT"
244;"DAF189";;-53.783567206;-3.769443808;"1521-AV-L-039";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"30";"200";"< 1";"ND";"ND";"5";"150";"10";"50";"70";"< 5";"20";"20";"50";"ND";"10";"ND";"< 100";"70";"ND";"20";"ND";"> 1000";;;"< 0,05";"1";"0,15";"> 1"
245;"DAF190";;-53.76825152;-3.803520853;"1521-AV-L-040";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"50";"100";"< 1";"ND";"ND";"< 5";"70";"15";"20";"150";"ND";"20";"7";"20";"ND";"7";"ND";"< 100";"50";"ND";"30";"ND";"> 1000";;;"0,2";"1";"0,1";"1"
246;"DAF191";;-53.769393661;-3.830646708;"1521-AV-L-041";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"30";"100";"< 1";"ND";"ND";"< 5";"100";"10";"30";"70";"< 5";"15";"7";"30";"ND";"7";"ND";"< 100";"50";"ND";"15";"ND";"> 1000";;;"< 0,05";"1";"0,1";"1"
247;"DAF192";;-53.799374869;-3.82807689;"1521-AV-L-042";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"30";"150";"ND";"ND";"ND";"< 5";"100";"7";"30";"100";"ND";"20";"7";"30";"ND";"10";"ND";"< 100";"70";"ND";"20";"ND";"> 1000";;;"< 0,05";"2";"0,15";"> 1"
248;"DAF193";;-53.785669175;-3.831075011;"1521-AV-L-043";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"150";"< 1";"ND";"ND";"5";"150";"10";"30";"70";"< 5";"20";"10";"30";"ND";"10";"ND";"< 100";"70";"ND";"20";"ND";"> 1000";;;"< 0,05";"1,5";"0,15";"1"
249;"DAF194";;-53.81279503;-3.806947277;"1521-AV-L-044";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"30";"70";"ND";"ND";"ND";"< 5";"30";"7";"30";"70";"ND";"20";"7";"20";"ND";"7";"ND";"ND";"50";"ND";"20";"ND";"> 1000";;;"< 0,05";"1";"0,1";"1"
250;"DAF195";;-53.811851554;-3.826178301;"1521-AV-L-045";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"30";"100";"< 1";"ND";"ND";"< 5";"30";"7";"30";"100";"ND";"20";"7";"30";"ND";"7";"ND";"< 100";"50";"ND";"20";"ND";"700";;;"< 0,05";"1";"0,1";"1"
251;"DAF196";;-53.813136463;-3.835600967;"1521-AV-L-046";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"0,5";"ND";"ND";"50";"150";"< 1";"ND";"ND";"< 5";"70";"10";"30";"100";"5";"30";"10";"30";"ND";"10";"ND";"< 100";"70";"ND";"20";"ND";"> 1000";;;"< 0,05";"1,5";"0,15";"> 1"
252;"DAF197";;-53.794148366;-3.712963546;"1521-AV-L-047";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"150";"< 1";"ND";"ND";"5";"100";"7";"30";"100";"5";"20";"20";"30";"ND";"10";"ND";"< 100";"100";"ND";"15";"ND";"1000";;;"< 0,05";"3";"0,15";"1"
253;"DAF198";;-53.777159014;-3.72310005;"1521-AV-L-048";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"1,5";"ND";"ND";"20";"150";"< 1";"ND";"ND";"5";"150";"10";"30";"100";"< 5";"20";"20";"70";"ND";"15";"ND";"< 100";"100";"ND";"15";"ND";"700";;;"< 0,05";"5";"0,15";"1"
254;"DAF199";;-53.776136354;-3.770462015;"1521-AV-L-049";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"0,5";"ND";"ND";"50";"50";"ND";"ND";"ND";"< 5";"15";"5";"< 20";"200";"ND";"15";"< 5";"10";"ND";"5";"ND";"ND";"20";"ND";"10";"ND";"> 1000";;;"0,15";"0,7";"0,03";"1"
255;"DAF200";;-53.737303551;-3.764180238;"1521-AV-L-050";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"1";"ND";"ND";"50";"70";"< 1";"ND";"ND";"5";"20";"5";"20";"200";"< 5";"20";"5";"10";"ND";"7";"ND";"< 100";"50";"ND";"15";"ND";"> 1000";;;"< 0,05";"1,5";"0,05";"> 1"
256;"DAF201";;-53.556416925;-3.675807056;"1521-AV-L-051";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"1";"ND";"ND";"30";"70";"< 1";"ND";"ND";"5";"50";"10";"20";"150";"5";"20";"15";"30";"ND";"10";"ND";"ND";"70";"ND";"15";"ND";"1000";;;"< 0,05";"3";"7,0000000000000007E-2";"> 1"
257;"DAF202";;-53.5562275;-3.697848107;"1521-AV-L-052";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"1";"ND";"ND";"50";"50";"ND";"ND";"ND";"< 5";"50";"5";"20";"70";"< 5";"15";"5";"20";"ND";"7";"ND";"ND";"70";"ND";"15";"ND";"1000";;;"< 0,05";"1,5";"0,03";"1"
258;"DAF203";;-53.565507397;-3.697705339;"1521-AV-L-053";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"1";"ND";"ND";"50";"70";"< 1";"ND";"ND";"< 5";"150";"7";"30";"70";"5";"20";"10";"30";"ND";"15";"ND";"< 100";"100";"ND";"20";"ND";"> 1000";;;"< 0,05";"3";"0,03";"1"
259;"DAF204";;-53.569076589;-3.704558188;"1521-AV-L-054";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"< 0,5";"ND";"ND";"70";"70";"< 1";"ND";"ND";"5";"150";"5";"30";"100";"7";"20";"10";"30";"ND";"15";"ND";"< 100";"100";"ND";"30";"ND";"> 1000";;;"< 0,05";"5";"0,05";"1"
260;"DAF205";;-53.584352729;-3.71298148;"1521-AV-L-055";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"< 0,5";"ND";"ND";"50";"70";"< 1";"ND";"ND";"< 5";"150";"7";"30";"70";"7";"20";"10";"30";"ND";"15";"ND";"ND";"100";"ND";"20";"ND";"> 1000";;;"< 0,05";"3";"0,02";"1"
261;"DAF206";;-53.600941877;-3.718533752;"1521-AV-L-056";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"70";"ND";"ND";"ND";"5";"20";"50";"< 20";"200";"ND";"15";"5";"10";"ND";"7";"ND";"ND";"100";"ND";"10";"ND";"> 1000";;;"0,15";"1,5";"0,05";"1"
262;"DAF207";;-53.605224907;-3.726671508;"1521-AV-L-057";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"0,5";"ND";"ND";"20";"70";"ND";"ND";"ND";"7";"50";"100";"< 20";"200";"ND";"20";"10";"15";"ND";"15";"ND";"ND";"200";"ND";"15";"ND";"> 1000";;;"< 0,05";"5";"7,0000000000000007E-2";"> 1"
263;"DAF208";;-53.617502925;-3.727956416;"1521-AV-L-058";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"50";"< 1";"ND";"ND";"5";"30";"50";"20";"100";"ND";"20";"20";"15";"ND";"20";"ND";"ND";"150";"ND";"15";"ND";"1000";;;"< 0,05";"3";"0,1";"> 1"
264;"DAF209";;-53.624213005;-3.723530619;"1521-AV-L-059";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"50";"< 1";"ND";"ND";"5";"30";"30";"20";"100";"ND";"10";"15";"15";"ND";"15";"ND";"ND";"150";"ND";"10";"ND";"700";;;"< 0,05";"2";"0,1";"1"
265;"DAF210";;-53.629114725;-3.730570472;"1521-AV-L-060";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"50";"ND";"ND";"ND";"7";"20";"50";"20";"300";"ND";"10";"10";"10";"ND";"10";"ND";"ND";"200";"ND";"10";"ND";"700";;;"0,05";"2";"0,05";"> 1"
266;"DAF211";;-53.625545533;-3.735710107;"1521-AV-L-061";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"50";"< 1";"ND";"ND";"7";"20";"70";"20";"500";"ND";"10";"20";"15";"ND";"15";"ND";"ND";"200";"ND";"10";"ND";"700";;;"< 0,05";"5";"0,1";"> 1"
267;"DAF212";;-53.619977594;-3.742420187;"1521-AV-L-062";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"50";"ND";"ND";"ND";"10";"50";"200";"20";"500";"ND";"10";"30";"20";"ND";"30";"ND";"ND";"700";"ND";"20";"ND";"500";;;"< 0,05";"7";"0,1";"> 1"
268;"DAF213";;-53.627629955;-3.746255232;"1521-AV-L-063";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"70";"< 1";"ND";"ND";"< 5";"30";"10";"20";"100";"< 5";"10";"7";"30";"ND";"5";"ND";"ND";"50";"ND";"15";"ND";"500";;;"< 0,05";"1,5";"0,1";"1"
269;"DAF214";;-53.631912985;-3.750966565;"1521-AV-L-064";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"70";"< 1";"ND";"ND";"5";"50";"10";"20";"100";"< 5";"15";"10";"30";"ND";"7";"ND";"ND";"50";"ND";"15";"ND";"700";;;"< 0,05";"1,5";"0,1";"1"
270;"DAF215";;-53.762973697;-3.839625282;"1521-AV-L-065";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"70";"< 1";"ND";"ND";"5";"50";"7";"20";"100";"< 5";"20";"10";"30";"ND";"10";"ND";"ND";"70";"ND";"15";"ND";"700";;;"< 0,05";"1,5";"0,1";"1"
271;"DAF216";;-53.772110827;-3.842337868;"1521-AV-L-066";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"100";"< 1";"ND";"ND";"< 5";"50";"7";"20";"70";"< 5";"10";"7";"30";"ND";"7";"ND";"ND";"50";"ND";"15";"ND";"500";;;"< 0,05";"2";"0,1";"1"
272;"DAF217";;-53.783395204;-3.849950251;"1521-AV-L-067";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"30";"< 1";"ND";"ND";"5";"20";"7";"20";"200";"5";"20";"5";"15";"ND";"7";"ND";"ND";"50";"ND";"20";"ND";"> 1000";;;"< 0,05";"1,5";"0,05";"> 1"
273;"DAF218";;-53.806809102;-3.868938349;"1521-AV-L-068";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"50";"< 1";"ND";"ND";"5";"50";"7";"30";"200";"< 5";"20";"7";"20";"ND";"10";"ND";"ND";"50";"ND";"20";"ND";"1000";;;"< 0,05";"2";"0,05";"> 1"
274;"DAF219";;-53.860346974;-3.884071721;"1521-AV-L-069";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"50";"< 1";"ND";"ND";"5";"50";"7";"20";"150";"5";"20";"10";"15";"ND";"10";"ND";"ND";"70";"ND";"20";"ND";"1000";;;"< 0,05";"2";"0,05";"> 1"
275;"DAF220";;-53.87099031;-3.897033612;"1521-AV-L-070";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"30";"< 1";"ND";"ND";"5";"30";"7";"20";"100";"< 5";"15";"7";"30";"ND";"10";"ND";"ND";"50";"ND";"20";"ND";"700";;;"< 0,05";"1,5";"0,03";"1"
276;"DAF221";;-53.88779592;-3.901504764;"1521-AV-L-071";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"50";"30";"ND";"ND";"ND";"< 5";"10";"5";"20";"70";"ND";"10";"5";"10";"ND";"5";"ND";"ND";"50";"ND";"10";"ND";"1000";;;"< 0,05";"0,7";"0,02";"0,7"
277;"DAF222";;-53.803991302;-3.848823497;"1521-AV-L-072";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"70";"< 1";"ND";"ND";"5";"30";"7";"20";"70";"5";"10";"10";"15";"ND";"10";"ND";"ND";"70";"ND";"15";"ND";"700";;;"< 0,05";"2";"7,0000000000000007E-2";"1"
278;"DAF223";;-53.787430254;-3.854962507;"1521-AV-L-073";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"50";"70";"< 1";"ND";"ND";"5";"50";"7";"20";"70";"< 5";"10";"10";"20";"ND";"15";"ND";"ND";"70";"ND";"20";"ND";"1000";;;"< 0,05";"3";"0,1";"1"
279;"DAF224";;-53.791606208;-3.875241464;"1521-AV-L-074";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"50";"100";"< 1";"ND";"ND";"5";"50";"10";"20";"70";"< 5";"15";"15";"30";"ND";"15";"ND";"< 100";"70";"ND";"20";"ND";"1000";;;"< 0,05";"3";"0,1";"1"
280;"DAF225";;-53.756826436;-3.887613879;"1521-AV-L-075";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"50";"< 1";"ND";"ND";"< 5";"50";"5";"20";"70";"< 5";"10";"5";"20";"ND";"7";"ND";"ND";"70";"ND";"20";"ND";"700";;;"< 0,05";"2";"< 0,02";"1"
281;"DAF226";;-53.756826436;-3.887613879;"1521-AV-L-076";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"50";"< 1";"ND";"ND";"< 5";"30";"5";"30";"70";"< 5";"15";"5";"20";"ND";"10";"ND";"< 100";"70";"ND";"20";"ND";"700";;;"< 0,05";"2";"< 0,02";"1"
282;"DAF227";;-53.756826436;-3.887613879;"1521-AV-L-077";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"50";"< 1";"ND";"ND";"< 5";"50";"7";"20";"70";"ND";"15";"7";"50";"ND";"7";"ND";"ND";"70";"ND";"15";"ND";"700";;;"< 0,05";"2";"< 0,02";"1"
283;"DAF228";;-53.756826436;-3.887613879;"1521-AV-L-078";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"30";"< 1";"ND";"ND";"< 5";"20";"< 5";"20";"20";"ND";"10";"5";"20";"ND";"7";"ND";"ND";"50";"ND";"15";"ND";"500";;;"< 0,05";"1,5";"< 0,02";"0,5"
284;"DAF229";;-53.745051902;-3.92654061;"1521-AV-L-079";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"70";"< 1";"ND";"ND";"< 5";"50";"10";"30";"150";"< 5";"30";"10";"30";"ND";"15";"ND";"ND";"100";"ND";"20";"ND";"> 1000";;;"< 0,05";"5";"< 0,02";"> 1"
285;"DAF230";;-53.745051902;-3.92654061;"1521-AV-L-080";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"50";"< 1";"ND";"ND";"< 5";"30";"7";"30";"100";"< 5";"10";"5";"30";"ND";"7";"ND";"ND";"70";"ND";"15";"ND";"1000";;;"< 0,05";"2";"< 0,02";"1"
286;"DAF231";;-53.745051902;-3.92654061;"1521-AV-L-081";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"70";"< 1";"ND";"ND";"< 5";"50";"15";"30";"200";"< 5";"20";"15";"50";"ND";"10";"ND";"ND";"100";"ND";"20";"ND";"1000";;;"< 0,05";"5";"< 0,02";"1"
287;"DAF232";;-53.745051902;-3.92654061;"1521-AV-L-082";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"70";"< 1";"ND";"ND";"5";"50";"15";"50";"300";"< 5";"20";"15";"50";"ND";"15";"ND";"ND";"100";"ND";"30";"ND";"> 1000";;;"< 0,05";"5";"0,03";"> 1"
288;"DAF233";;-53.745051902;-3.92654061;"1521-AV-L-083";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"70";"< 1";"ND";"ND";"< 5";"70";"15";"30";"200";"ND";"10";"10";"50";"ND";"10";"ND";"ND";"70";"ND";"20";"ND";"1000";;;"< 0,05";"5";"0,02";"> 1"
289;"DAF234";;-53.745051902;-3.92654061;"1521-AV-L-084";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"100";"< 1";"ND";"ND";"5";"100";"15";"50";"300";"< 5";"20";"15";"50";"ND";"15";"ND";"ND";"100";"ND";"30";"ND";"> 1000";;;"< 0,05";"5";"0,02";"> 1"
290;"DAF235";;-53.72088706;-3.913294781;"1521-AV-L-085";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"50";"< 1";"ND";"ND";"< 5";"30";"7";"20";"150";"5";"15";"10";"15";"ND";"5";"ND";"ND";"70";"ND";"15";"ND";"1000";;;"< 0,05";"1,5";"0,03";"1"
291;"DAF236";;-53.72088706;-3.913294781;"1521-AV-L-086";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"15";"100";"< 1";"ND";"ND";"5";"100";"10";"20";"100";"5";"15";"20";"50";"ND";"15";"ND";"ND";"100";"ND";"15";"ND";"700";;;"< 0,05";"5";"0,15";"1"
292;"DAF237";;-53.72088706;-3.913294781;"1521-AV-L-087";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"70";"< 1";"ND";"ND";"5";"70";"10";"20";"200";"5";"20";"15";"20";"ND";"10";"ND";"ND";"100";"ND";"20";"ND";"> 1000";;;"< 0,05";"2";"0,03";"> 1"
293;"DAF238";;-53.72088706;-3.913294781;"1521-AV-L-088";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"70";"< 1";"ND";"ND";"5";"70";"7";"20";"200";"5";"20";"10";"20";"ND";"7";"ND";"ND";"70";"ND";"30";"ND";"> 1000";;;"< 0,05";"1,5";"0,05";"> 1"
294;"DAF239";;-53.72088706;-3.913294781;"1521-AV-L-089";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"50";"< 1";"ND";"ND";"< 5";"70";"7";"20";"150";"5";"20";"10";"15";"ND";"7";"ND";"ND";"70";"ND";"20";"ND";"> 1000";;;"< 0,05";"1,5";"0,03";"> 1"
295;"DAF240";;-53.72088706;-3.913294781;"1521-AV-L-090";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"70";"< 1";"ND";"ND";"< 5";"50";"7";"20";"300";"5";"20";"10";"20";"ND";"10";"ND";"ND";"70";"ND";"30";"ND";"> 1000";;;"< 0,05";"1,5";"0,03";"> 1"
296;"DAF539";"cartas_100M";-52.351587757;-3.255594079;"1521-DM-L-024";"Sulfetos de Altamira-Itaituba";"Solo";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"15";;;;;;;;;;;;;;;;;;;;;
297;"DAF539";"cartas_100M";-52.351587757;-3.255594079;"1521-DM-L-024";"Sulfetos de Altamira-Itaituba";"Solo";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
298;"DAF539";"cartas_100M";-52.351587757;-3.255594079;"1521-DM-L-024";"Sulfetos de Altamira-Itaituba";"Solo";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"1";;;;;;;;;;;;;;;;"25";;;;;;;;;;;;;;;
299;"DAF539";"cartas_100M";-52.351587757;-3.255594079;"1521-DM-L-024";"Sulfetos de Altamira-Itaituba";"Solo";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;"< 50";;;;;
300;"DAF539";"cartas_100M";-52.351587757;-3.255594079;"1521-DM-L-024";"Sulfetos de Altamira-Itaituba";"Solo";"Colorimetria";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;"< 1";;;;;;;;;;;;;;
301;"DAF539";"cartas_100M";-52.351587757;-3.255594079;"1521-DM-L-024";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"50";"< 1";"ND";"ND";"30";"150";"200";"ND";"2000";"< 5";"30";"70";"30";"ND";"50";"ND";"ND";"500";"ND";"20";"ND";"500";;;"< 0,05";"15";"0,1";"> 1"
302;"DAF539A";"cartas_100M";-52.351587757;-3.255594079;"1521-DM-L-024";"Sulfetos de Altamira-Itaituba";"Solo";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"15";;;;;;;;;;;;;;;;;;;;;
303;"DAF539A";"cartas_100M";-52.351587757;-3.255594079;"1521-DM-L-024";"Sulfetos de Altamira-Itaituba";"Solo";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"1";;;;;;;;;;;;;;;;"25";;;;;;;;;;;;;;;
304;"DAF539A";"cartas_100M";-52.351587757;-3.255594079;"1521-DM-L-024";"Sulfetos de Altamira-Itaituba";"Solo";"Colorimetria";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;"2";;;;;;;;;;;;;;
305;"DAG229";;-52.872658812;-3.526794002;"1521-DM-L-108";"Sulfetos de Altamira-Itaituba";"Solo";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;;
306;"DAG229";;-52.872658812;-3.526794002;"1521-DM-L-108";"Sulfetos de Altamira-Itaituba";"Solo";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"5";;;;;;;;;;;;;;;;;;;;;
307;"DAG229";;-52.872658812;-3.526794002;"1521-DM-L-108";"Sulfetos de Altamira-Itaituba";"Solo";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
308;"DAG229";;-52.872658812;-3.526794002;"1521-DM-L-108";"Sulfetos de Altamira-Itaituba";"Solo";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"ND";;;"15";;;;;;"10";;;;;;;;"10";;;;;;;
309;"DAG229";;-52.872658812;-3.526794002;"1521-DM-L-108";"Sulfetos de Altamira-Itaituba";"Solo";"Cromatografia - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;"0";;;;
310;"DAG229";;-52.872658812;-3.526794002;"1521-DM-L-108";"Sulfetos de Altamira-Itaituba";"Solo";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;"450";;;;;
311;"DAG229";;-52.872658812;-3.526794002;"1521-DM-L-108";"Sulfetos de Altamira-Itaituba";"Solo";"Colorimetria";"SGB-CPRM - Rigeo";;"10";;;;;;;;;;;;;;;;"< 1";;;;;;;;;;;;;;
312;"DAG229";;-52.872658812;-3.526794002;"1521-DM-L-108";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"100";"700";"1";"ND";"ND";"5";"150";"30";"70";"100";"5";"20";"30";"50";"ND";"15";"ND";"100";"150";"ND";"50";"ND";"700";;;"< 0,05";"5";"0,5";"> 1"
313;"DAG230";;-52.87490638;-3.534839948;"1521-DM-L-109";"Sulfetos de Altamira-Itaituba";"Solo";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;;
314;"DAG230";;-52.87490638;-3.534839948;"1521-DM-L-109";"Sulfetos de Altamira-Itaituba";"Solo";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"7";;;;;;;;;;;;;;;;;;;;;
315;"DAG230";;-52.87490638;-3.534839948;"1521-DM-L-109";"Sulfetos de Altamira-Itaituba";"Solo";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
