"ID";"N_LAB";"AREA";"LONG";"LAT";"NUM_CAMPO";"PROJETO";"CLASSE";"Lab";"BASE";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"LA_PPM";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"PB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"F_PPM";"U_PPM";"CA_PCT";"FE_PCT";"MG_PCT";"TI_PCT"
200;"DBX574";"cartas_100M";-51.913399849;-3.589993933;"1511-VR-L-0146";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"150";"70";"< 1";"ND";"ND";"7";"150";"7";"ND";"150";"ND";"< 10";"50";"< 10";"ND";"7";"ND";"ND";"50";"ND";"< 10";"ND";"200";;;"0,05";"2";"0,1";"0,5"
201;"DBX575";"cartas_100M";-51.915806134;-3.59194703;"1511-VR-L-0147";"Grande Carajás - Folha Altamira";"Solo";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;;"4";;"60";;;;;"40";"18";;;;;;;;"30";;;;;;;
202;"DBX575";"cartas_100M";-51.915806134;-3.59194703;"1511-VR-L-0147";"Grande Carajás - Folha Altamira";"Solo";"Colorimetria";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;"4";;;;;;;;;
203;"DBX575";"cartas_100M";-51.915806134;-3.59194703;"1511-VR-L-0147";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"200";"ND";"100";"50";"< 1";"ND";"ND";"7";"500";"50";"20";"300";"ND";"10";"70";"30";"ND";"20";"< 10";"ND";"300";"ND";"10";"ND";"150";;;"< 0,05";"10";"0,05";"1"
204;"DBX576";"cartas_100M";-51.917155624;-3.593597896;"1511-VR-L-0148";"Grande Carajás - Folha Altamira";"Solo";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;;"ND";;"45";;;;;"16";"14";;;;;;;;"18";;;;;;;
205;"DBX576";"cartas_100M";-51.917155624;-3.593597896;"1511-VR-L-0148";"Grande Carajás - Folha Altamira";"Solo";"Colorimetria";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;"4";;;;;;;;;
206;"DBX576";"cartas_100M";-51.917155624;-3.593597896;"1511-VR-L-0148";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"< 0,5";"< 200";"ND";"200";"150";"< 1";"ND";"ND";"5";"300";"30";"30";"50";"ND";"< 10";"70";"50";"ND";"30";"ND";"ND";"200";"ND";"10";"ND";"150";;;"< 0,05";"5";"0,1";"0,7"
207;"DBX577";"cartas_100M";-51.918921634;-3.595795174;"1511-VR-L-0149";"Grande Carajás - Folha Altamira";"Solo";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;;"1";;"30";;;;;"14";"10";;;;;;;;"17";;;;;;;
208;"DBX577";"cartas_100M";-51.918921634;-3.595795174;"1511-VR-L-0149";"Grande Carajás - Folha Altamira";"Solo";"Colorimetria";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;"4";;;;;;;;;
209;"DBX577";"cartas_100M";-51.918921634;-3.595795174;"1511-VR-L-0149";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"< 0,5";"< 200";"ND";"500";"150";"< 1";"ND";"ND";"7";"300";"20";"50";"150";"ND";"< 10";"50";"50";"ND";"20";"< 10";"< 100";"500";"ND";"20";"ND";"150";;;"< 0,05";"5";"7,0000000000000007E-2";"> 1"
210;"DBX578";"cartas_100M";-51.267519704;-3.783893138;"1511-VR-L-023";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"150";"ND";"ND";"ND";"< 5";"10";"15";"ND";"150";"ND";"< 10";"< 5";"< 10";"ND";"< 5";"ND";"ND";"50";"ND";"< 10";"ND";"500";;;"< 0,05";"0,7";"0,03";"> 1"
211;"DBX579";"cartas_100M";-51.266619922;-3.786607452;"1511-VR-L-024";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"150";"ND";"ND";"ND";"< 5";"< 10";"< 5";"ND";"100";"ND";"< 10";"< 5";"< 10";"ND";"< 5";"ND";"ND";"30";"ND";"10";"ND";"500";;;"< 0,05";"0,7";"0,03";"1"
212;"DBX580";"cartas_100M";-51.265720135;-3.789321766;"1511-VR-L-025";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"30";"ND";"ND";"ND";"5";"30";"10";"ND";"200";"ND";"< 10";"5";"ND";"ND";"7";"ND";"ND";"70";"ND";"< 10";"ND";"150";;;"< 0,05";"2";"0,05";"> 1"
213;"DBX581";"cartas_100M";-51.264820068;-3.791131401;"1511-VR-L-026";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"200";"< 1";"ND";"ND";"< 5";"20";"10";"ND";"100";"ND";"< 10";"7";"< 10";"ND";"7";"ND";"ND";"70";"ND";"10";"ND";"200";;;"< 0,05";"3";"0,1";"> 1"
214;"DBX582";"cartas_100M";-51.263920546;-3.794750392;"1511-VR-L-027";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"50";"30";"ND";"ND";"ND";"7";"150";"70";"ND";"200";"ND";"< 10";"100";"< 10";"ND";"20";"ND";"ND";"700";"ND";"10";"ND";"100";;;"< 0,05";"15";"0,03";"1"
215;"DBX583";"cartas_100M";-51.263020744;-3.797464704;"1511-VR-L-028";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"50";"50";"ND";"ND";"ND";"< 5";"50";"15";"< 20";"200";"ND";"< 10";"20";"ND";"ND";"15";"ND";"ND";"150";"ND";"10";"ND";"150";;;"< 0,05";"5";"0,03";"> 1"
216;"DBX584";"cartas_100M";-51.262120937;-3.800179015;"1511-VR-L-029";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"30";"20";"ND";"ND";"ND";"7";"100";"50";"ND";"300";"ND";"< 10";"70";"< 10";"ND";"20";"ND";"ND";"300";"ND";"10";"ND";"150";;;"< 0,05";"10";"0,03";"> 1"
217;"DBX585";"cartas_100M";-51.261221397;-3.803798004;"1511-VR-L-030";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"20";"ND";"ND";"ND";"10";"70";"20";"ND";"500";"ND";"< 10";"30";"< 10";"ND";"15";"ND";"ND";"150";"ND";"10";"ND";"200";;;"< 0,05";"7";"0,03";"> 1"
