"PROJETO_AMOSTRAGEM";"PROJETO_PUBLICACAO";"CENTRO_CUSTO";"CLASSE";"NUM_CAMPO";"NUM_LAB";"DATA_VISITA";"ABERTURA";"LEITURA";"JOB";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CA_PCT";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"F_PPM";"FE_PCT";"LA_PPM";"MG_PCT";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"P.CNC_G";"P.QRT_G";"P.TOTAL_G";"PB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"TI_PCT";"U_PPM";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"OBSERVACAO";"LONGITUDE";"LATITUDE";"PROJETO";"OS";"ACAO";"AREA";"CLASSE.1";"NUM_CAMPO.1";"LAT";"LONG";"PRECISAO";"CENTRO_CUS";"DTVISITA";"DESCAMOSTR";"MATCOLETAD";"ROCHMATRIZ";"INTEMROCHA";"ALTERROCHA";"TIPMINERAL";"GRAUARREDO";"VOLUME_L";"P_BATEIA_G";"GRANULMAX";"GRANULMIN";"COMPOS_PCT";"CORSED_SOL";"EH_MILIVOL";"PH";"METALPESAD";"OBS_CAMPO";"FONTEAMOST";"DESCROCHA";"IDADEROCH1";"IDADEROCH2";"PLUVIOSIDA";"VEGETACAO";"TOPOGRAFIA";"SITUACAO";"IGNEAROCHA";"ESTRUTURAL";"FORMADEPOS";"MODO_DEPOS";"LARG_RIO_M";"PROF_RIO_M";"VELOC_CORR";"NIVEL_DAGU";"AREADRENAG";"TURBIDEZ";"POSICAO";"COR_AGUA";"HORIZ_SOLO";"TIPO_SOLO";"AMBBIOTICO";"GEOMETRY"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-101";"DAG266";"27668";NA;"Colorimetria";NA;NA;"< 10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ND";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,581486331";"-3,471629829";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-101";"-3,47163";"-52,581486";"5";"1521310";"1975-10-01";"Composto";"Coluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"5";NA;NA;"Trincheira";"Gnaisse";"Pre-Cambriano";"Indeterminado";"Periodo Seco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,581486331, -3,471629829)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-101";"DAG266";"27668";NA;"Espectrografia Ótica de Emissão";NA;"ND";"ND";"ND";"15";"700";"< 1";"ND";"< 0,05";"ND";"< 5";"ND";"< 5";NA;"0,15";"50";"< 0,02";"300";"ND";"15";"ND";NA;NA;NA;"< 10";"ND";"ND";"ND";"ND";"0,3";NA;"10";"ND";"20";"ND";"> 1000";NA;"-52,581486331";"-3,471629829";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-101";"-3,47163";"-52,581486";"5";"1521310";"1975-10-01";"Composto";"Coluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;"5";NA;NA;"Trincheira";"Gnaisse";"Pre-Cambriano";"Indeterminado";"Periodo Seco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,581486331, -3,471629829)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-101";"DAG266A";"27668";"Água Régia Invertida";"Absorção Atômica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ND";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,581486331";"-3,471629829";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-101";"-3,47163";"-52,581486";"5";"1521310";"1975-10-01";"Composto";"Coluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Trincheira";"Gnaisse";"Pre-Cambriano";"Indeterminado";"Periodo Seco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,581486331, -3,471629829)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-101";"DAG266A";"27668";"EDTA a Frio";"Absorção Atômica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,581486331";"-3,471629829";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-101";"-3,47163";"-52,581486";"5";"1521310";"1975-10-01";"Composto";"Coluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Trincheira";"Gnaisse";"Pre-Cambriano";"Indeterminado";"Periodo Seco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,581486331, -3,471629829)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-101";"DAG266A";"27668";"HNO3 a Quente";"Absorção Atômica";NA;"ND";NA;NA;NA;NA;NA;NA;NA;"ND";NA;NA;"< 5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"< 5";NA;NA;NA;NA;NA;NA;NA;NA;NA;"< 5";NA;NA;"-52,581486331";"-3,471629829";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-101";"-3,47163";"-52,581486";"5";"1521310";"1975-10-01";"Composto";"Coluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Trincheira";"Gnaisse";"Pre-Cambriano";"Indeterminado";"Periodo Seco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,581486331, -3,471629829)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-101";"DAG266A";"27668";"Semiquantitativa";"Cromatografia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;"Amostra insuficiente para completar análise de U_ppm";"-52,581486331";"-3,471629829";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-101";"-3,47163";"-52,581486";"5";"1521310";"1975-10-01";"Composto";"Coluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Trincheira";"Gnaisse";"Pre-Cambriano";"Indeterminado";"Periodo Seco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,581486331, -3,471629829)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-101";"DAG266A";"27668";"Semiquantitativa";"Medidor de Íon Específico";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"< 50";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,581486331";"-3,471629829";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-101";"-3,47163";"-52,581486";"5";"1521310";"1975-10-01";"Composto";"Coluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Trincheira";"Gnaisse";"Pre-Cambriano";"Indeterminado";"Periodo Seco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,581486331, -3,471629829)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-101";"DAG266A";"27668";NA;"Colorimetria";NA;NA;"< 10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ND";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,581486331";"-3,471629829";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-101";"-3,47163";"-52,581486";"5";"1521310";"1975-10-01";"Composto";"Coluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Trincheira";"Gnaisse";"Pre-Cambriano";"Indeterminado";"Periodo Seco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(-52,581486331, -3,471629829)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-127";"DAG078";"27699";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"101,2";"101,2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,693046137";"-3,529501734";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-127";"-3,529502";"-52,693046";"5";"1521310";"1975-11-01";"Composto";"Aluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Rio";"Gnaisse";NA;NA;"Periodo Seco";"Floresta Aberta";NA;"Leito Ativo Abaixo do Nível d'água";NA;NA;NA;NA;"4";"0,2";NA;"Baixa";"Ate 10 Km2";NA;"Calha";"Clara";NA;NA;NA;"c(-52,693046137, -3,529501734)"
"Sulfetos de Altamira-Itaituba";"Sulfetos de Altamira-Itaituba";"1521310";"Concentrado de Bateia";"1521-DM-B-129";"DAG079";"27699";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,6";"59,5";"59,5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-52,689508161";"-3,545194046";"Sulfetos de Altamira-Itaituba";"1890";"Geoquímica Regional";"Itaituba";"Concentrado de Bateia";"1521-DM-B-129";"-3,545194";"-52,689508";"5";"1521310";"1975-11-01";"Composto";"Aluviao";NA;NA;NA;NA;NA;"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Rio";"Gnaisse";NA;NA;"Periodo Seco";"Floresta Aberta";NA;"Leito Ativo Abaixo do Nível d'água";NA;NA;NA;NA;"5";"0,2";NA;"Baixa";"Ate 10 Km2";NA;"Calha";"Clara";NA;NA;NA;"c(-52,689508161, -3,545194046)"
