"ID";"N_LAB";"AREA";"LONG";"LAT";"NUM_CAMPO";"PROJETO";"CLASSE";"Lab";"BASE";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"F_PPM";"LA_PPM";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"PB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"U_PPM";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"CA_PCT";"FE_PCT";"MG_PCT";"TI_PCT"
21;"DAG831";"cartas_100M";-51.89042671;-3.484090062;"1521-DM-B-175";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;"DAG832";"cartas_100M";-51.892921457;-3.435993224;"1521-DM-B-179";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;"DAG833";"cartas_100M";-51.887329642;-3.406746858;"1521-DM-B-184";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;"DAG860";"cartas_100M";-51.915647767;-3.370839215;"1521-DM-B-186";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;
25;"DAG860";"cartas_100M";-51.915647767;-3.370839215;"1521-DM-B-186";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;
26;"DAG860";"cartas_100M";-51.915647767;-3.370839215;"1521-DM-B-186";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;"DAG860";"cartas_100M";-51.915647767;-3.370839215;"1521-DM-B-186";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"ND";;;"< 5";;;;;;;"45";;;;;;;;;"5";;;;;
28;"DAG860";"cartas_100M";-51.915647767;-3.370839215;"1521-DM-B-186";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Cromatografia - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;"< 20";;;;;;;;;
29;"DAG860";"cartas_100M";-51.915647767;-3.370839215;"1521-DM-B-186";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;"120";;;;;;;;;;;;;;;;;;;;
30;"DAG860";"cartas_100M";-51.915647767;-3.370839215;"1521-DM-B-186";"Sulfetos de Altamira-Itaituba";"Concentrado de Bateia";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;;"ND";;;;;;;;;;;;;
