"";"N_LAB";"NUM_CAMPO";"LONG_DEC";"LAT_DEC";"UTM_LESTE";"UTM_NORTE";"MC";"PROJETO";"CLASSE";"LOTE";"REQUERENTE";"DATA"
"528";"IBV903";"RB0069";"-48,11342221";"-24,87415225";791660;7245895;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"529";"IBV904";"RB0070";"-48,11358289";"-24,87362295";791645;7245954;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"530";"IBV905";"RB0074";"-48,09221696";"-24,86729754";793820;7246609;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"531";"IBV906";"RB0075";"-48,0959479";"-24,86467211";793449;7246908;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"532";"IBV907";"RB0082";"-48,09277461";"-24,84853911";793808;7248689;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"533";"IBV908";"RB0085";"-48,17884082";"-24,84173461";785121;7249626;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"534";"IBV909";"RB0085A";"-48,17884082";"-24,84173461";785121;7249626;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"535";"IBV910";"RB0086";"-48,17736562";"-24,84137284";785271;7249663;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"536";"IBV911";"RB0087";"-48,09480942";"-24,83594551";793632;7250089;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"537";"IBV912";"RB0090";"-48,09240331";"-24,83058371";793888;7250678;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"538";"IBV913";"RB0094";"-48,17608872";"-24,81877027";785452;7252165;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"539";"IBV914";"RB0095";"-48,09230365";"-24,8183456";793927;7252034;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"540";"IBV915";"RB0098";"-48,09198058";"-24,81143616";793976;7252799;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"541";"IBV916";"RB0102";"-48,17414445";"-24,80205687";785687;7254013;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"542";"IBV917";"RB0103";"-48,03661178";"-24,79836547";799608;7254127;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"543";"IBV918";"RB0104";"-48,08657333";"-24,79746141";794556;7254336;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"544";"IBV919";"RB0107";"-48,17315113";"-24,79311319";785808;7255002;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"545";"IBV920";"RB0108";"-48,05577713";"-24,78757293";797695;7255365;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"546";"IBV921";"RB0108A";"-48,05577713";"-24,78757293";797695;7255365;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"547";"IBV922";"RB0121";"-48,07312198";"-24,75523864";796017;7258986;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"548";"IBV923";"RB0135";"-48,05527798";"-24,73668812";797867;7261003;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"549";"IBV924";"RB0138";"-48,21752845";"-24,73456476";781451;7261582;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"550";"IBV925";"RB0140";"-48,18672662";"-24,72898103";784581;7262137;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"551";"IBV926";"RB0143";"-48,21358519";"-24,72440216";781873;7262700;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"552";"IBV927";"RB0144";"-48,16774362";"-24,71863362";786526;7263244;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"553";"IBV928";"RB0145";"-48,07950466";"-24,71808623";795459;7263117;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"554";"IBV929";"RB0146";"-48,03817401";"-24,71839408";799642;7262993;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"555";"IBV930";"RB0147";"-48,0785708";"-24,71788756";795554;7263137;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"556";"IBV931";"RB0148";"-48,16767688";"-24,7180909";786534;7263304;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"557";"IBV932";"RB0152";"-48,03368441";"-24,70692663";800124;7264254;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"558";"IBV933";"RB0153";"-48,07027079";"-24,70657223";796421;7264373;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"559";"IBV934";"RB0154";"-48,03546018";"-24,70368621";799952;7264617;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"560";"IBV935";"RB0155";"-48,00268015";"-24,70271868";803273;7264652;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"561";"IBV936";"RB0159";"-48,19822487";"-24,69381192";783497;7266058;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"562";"IBV937";"RB0162";"-48,13375369";"-24,68778397";790038;7266591;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"563";"IBV938";"RB0170";"-48,11354162";"-24,66395216";792140;7269189;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"564";"IBV939";"RB0172";"-48,0543259";"-24,66466078";798135;7268983;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"565";"IBV940";"RB0179";"-48,06413894";"-24,65674972";797160;7269881;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"566";"IBV941";"RB0207";"-48,29052138";"-24,60206386";774354;7276412;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"567";"IBV942";"RB0235";"-48,09957905";"-24,53771753";793849;7283148;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"568";"IBV943";"RB0241";"-48,45742435";"-24,52938702";757595;7284787;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"569";"IBV944";"RB0245";"-48,46510052";"-24,51414528";756848;7286490;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Sedimento de corrente";"1532/SP";500;"09/2009"
"570";"IBX141";"RB0004";"-48,05813566";"-24,98924923";796973;7233020;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Concentrado de bateia";"1536/SP";500;"11/2009"
"571";"IBX142";"RB0031";"-48,06966781";"-24,93085137";795948;7239517;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Concentrado de bateia";"1536/SP";500;"11/2009"
"572";"IBX143";"RB0033";"-48,07108325";"-24,93041901";795806;7239568;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Concentrado de bateia";"1536/SP";500;"11/2009"
"573";"IBX144";"RB0040";"-48,11404441";"-24,91968922";791490;7240850;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Concentrado de bateia";"1536/SP";500;"11/2009"
"574";"IBX145";"RB0046";"-47,99819478";"-24,91031745";197144;7241643;-45;"Alto Ribeira II - Folha Eldorado Paulista";"Concentrado de bateia";"1536/SP";500;"11/2009"
"575";"IBX146";"RB0048";"-48,11279554";"-24,91638038";791624;7241214;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Concentrado de bateia";"1536/SP";500;"11/2009"
"576";"IBZ776";"FM0266F";"-48,15341733";"-24,79798186";787793;7254421;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"577";"IBZ777";"FM0269C";"-48,11013496";"-24,81515417";792131;7252426;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"578";"IBZ778";"FM0270";"-48,10463511";"-24,81569743";792686;7252354;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"579";"IBZ779";"FM0364B";"-48,06905029";"-24,95943468";795942;7236348;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"580";"IBZ780";"FM0368";"-48,06032857";"-24,98737964";796756;7233232;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"581";"IBZ781";"FM0408B";"-48,17881786";"-24,92543285";784931;7240351;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"582";"IBZ782";"FM0411";"-48,1658655";"-24,91584713";786262;7241386;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"583";"IBZ783";"FM0413";"-48,31688485";"-24,97695178";770867;7234925;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"584";"IBZ784";"FM0416B";"-48,33019354";"-24,98007916";769516;7234605;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"585";"IBZ785";"FM0421A";"-48,17623826";"-24,84267807";785382;7249516;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"586";"IBZ786";"FM0421B";"-48,17623826";"-24,84267807";785382;7249516;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"587";"IBZ787";"FM0422K";"-48,17715313";"-24,83853524";785299;7249977;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"588";"IBZ788";"FM0524L";"-48,21817256";"-24,8491956";781127;7248881;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"589";"IBZ789";"FM0524L";"-48,21817256";"-24,8491956";781127;7248881;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"590";"IBZ790";"FM0524N";"-48,21817256";"-24,8491956";781127;7248881;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"591";"IBZ791";"FM0524M";"-48,21817256";"-24,8491956";781127;7248881;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"592";"IBZ792";"MS0019A";"-48,11057848";"-24,55363975";792697;7281407;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"593";"IBZ793";"MS0033B";"-48,05898045";"-24,63376464";797737;7272417;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"594";"IBZ794";"MS0033B";"-48,05898045";"-24,63376464";797737;7272417;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"595";"IBZ795";"MS0038A";"-48,14751091";"-24,76534662";788466;7258025;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"596";"IBZ796";"MS0060A";"-48,07876659";"-24,6302794";795741;7272846;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"597";"IBZ797";"FM0413";"-48,31688485";"-24,97695178";770867;7234925;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"598";"IBZ798";"MS0079B";"-48,12271868";"-24,99432109";790438;7232598;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"599";"IBZ799";"MS0080";"-48,11581028";"-24,99420527";791136;7232596;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"600";"IBZ800";"MS0084A";"-48,05296647";"-24,99759273";797475;7232084;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"601";"IBZ801";"MS0086";"-48,02547306";"-24,99463589";800259;7232351;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"602";"IBZ802";"MS0087A";"-48,00670415";"-24,9814463";802187;7233771;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"603";"IBZ803";"MS0088";"-48,00371743";"-24,97275102";802510;7234728;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"604";"IBZ804";"MS0088B";"-48,00371743";"-24,97275102";802510;7234728;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"605";"IBZ805";"MS0124";"-48,05209645";"-24,56486";798598;7280038;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"606";"IBZ806";"MS0145B";"-48,48973867";"-24,98255946";753398;7234638;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"607";"IBZ807";"MS0146A";"-48,4837295";"-24,96886555";754033;7236144;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"608";"IBZ808";"MS0151A";"-48,33029234";"-24,97550538";769516;7235112;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"609";"IBZ809";"MS0151B";"-48,33029234";"-24,97550538";769516;7235112;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"610";"IBZ810";"MS0158A";"-48,35374608";"-24,97697132";767144;7234996;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"611";"IBZ811";"MS0159A";"-48,35656038";"-24,97500881";766864;7235219;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"612";"IBZ812";"MS0159B";"-48,35656038";"-24,97500881";766864;7235219;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"613";"IBZ813";"MS0159C";"-48,35656038";"-24,97500881";766864;7235219;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"614";"IBZ814";"MS0161A";"-48,35904355";"-24,97185809";766620;7235573;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"615";"IBZ815";"MS0161C";"-48,35904355";"-24,97185809";766620;7235573;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"616";"IBZ816";"MS0162A";"-48,20898016";"-24,87404839";782000;7246108;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"617";"IBZ817";"SW0010A";"-48,14779371";"-24,90910435";788104;7242095;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"618";"IBZ818";"SW0011A";"-48,12490771";"-24,9214694";790388;7240676;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"619";"IBZ820";"FM0432";"-48,21834978";"-24,79259804";781237;7255153;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"620";"IBZ821";"FM0432A";"-48,21834978";"-24,79259804";781237;7255153;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"621";"IBZ822";"FM0432E";"-48,21834978";"-24,79259804";781237;7255153;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"622";"IBZ823";"FM0432E";"-48,21834978";"-24,79259804";781237;7255153;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"623";"IBZ824";"FM0432M";"-48,21834978";"-24,79259804";781237;7255153;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"624";"IBZ825";"FM0432M";"-48,21834978";"-24,79259804";781237;7255153;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"625";"IBZ826";"FM0432A";"-48,21834978";"-24,79259804";781237;7255153;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"626";"IBZ827";"FM0432B";"-48,21834978";"-24,79259804";781237;7255153;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"627";"IBZ828";"FM0501";"-48,20913873";"-24,82161115";782103;7251919;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"628";"IBZ829";"FM0504A";"-48,21049572";"-24,80032099";782014;7254281;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"629";"IBZ830";"FM0504B";"-48,21049572";"-24,80032099";782014;7254281;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"630";"IBZ831";"FM0506";"-48,20704709";"-24,79274836";782380;7255113;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"631";"IBZ832";"FM0516";"-48,2079142";"-24,78448922";782311;7256030;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"632";"IBZ833";"FM0533C";"-48,46286349";"-24,95701288";756165;7237418;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"633";"IBZ834";"FM0533C";"-48,37784636";"-24,97040371";764724;7235771;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"634";"IBZ835";"FM0538";"-48,31604067";"-24,95107172";771009;7237791;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1579/SP";500;"10/2010"
"635";"IBZ860";"FM0538";"-48,02962721";"-24,94249228";799966;7238139;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1581/SP";500;"10/2010"
"636";"IBZ861";"FM0538";"-48,22230594";"-24,53622134";781412;7283570;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1581/SP";500;"10/2010"
"637";"IBZ862";"FM0538";"-48,17715313";"-24,83853524";785299;7249977;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1581/SP";500;"10/2010"
"638";"IBZ863";"FM0538";"-48,17715313";"-24,83853524";785299;7249977;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1581/SP";500;"10/2010"
"639";"IBZ864";"FM0538";"-48,17715313";"-24,83853524";785299;7249977;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1581/SP";500;"10/2010"
"640";"IBZ865";"FM0538";"-48,17715313";"-24,83853524";785299;7249977;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1581/SP";500;"10/2010"
"641";"IBZ866";"FM0538";"-48,41716453";"-24,94233716";760812;7238957;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1581/SP";500;"10/2010"
"642";"IBZ867";"FM0538";"-48,46312681";"-24,95624118";756140;7237504;-51;"Alto Ribeira II - Folha Eldorado Paulista";"Rocha";"1581/SP";500;"10/2010"
